Name,Latitude,Longitude,Location,Location Details,Asset Type,Operations,Container Type,Volume(m^2),Weight Capacity
411,51.9357115,4.3767449,Service Point,IKC Kethel,Textile Container,Textile Collection,JoBa,2.909,250
410,51.93364515093723,4.380980051331807,Service Point,Het Windas,Textile Container,Textile Collection,JoBa,2.909,250
409,51.9157661,4.381192,Service Point,Islamitisch Centrum Yildiz Schiedam,Textile Container,Textile Collection,JoBa,2.909,250
408,51.9157661,4.381192,Service Point,Islamitisch Centrum Yildiz Schiedam,Textile Container,Textile Collection,JoBa,2.909,250
407,51.9157661,4.381192,Service Point,Islamitisch Centrum Yildiz Schiedam,Textile Container,Textile Collection,JoBa,2.909,250
406,51.9157661,4.381192,Service Point,Islamitisch Centrum Yildiz Schiedam,Textile Container,Textile Collection,JoBa,2.909,250
405,51.9073733,4.4016823,Service Point,Retourette/AH Schiedam,Textile Container,Textile Collection,JoBa,2.909,250
404,51.9073733,4.4016823,Service Point,Retourette/AH Schiedam,Textile Container,Textile Collection,JoBa,2.909,250
403,51.9073733,4.4016823,Service Point,Retourette/AH Schiedam,Textile Container,Textile Collection,JoBa,2.909,250
402,51.85891983952848,4.3772144375184405,Service Point,School de Plevier,Textile Container,Textile Collection,JoBa,2.909,250
401,51.8949151,4.4199681,Service Point,Klaver-Heijplaat,Textile Container,Textile Collection,JoBa,2.909,250
400,51.8731702,4.4657762,Service Point,Over de Slinge Krabbendijkestraat 243,Textile Container,Textile Collection,JoBa,2.909,250
98,52.3585461,4.7892965,Service Point,ISN Haci Bayram Amsterdam,Textile Container,Textile Collection,JoBa,2.909,250
97,52.3585461,4.7892965,Service Point,ISN Haci Bayram Amsterdam,Textile Container,Textile Collection,JoBa,2.909,250
96,52.3831359,4.8221709,Service Point,Stichting Islamitisch Centrum Nieuw West - Slotermeer,Textile Container,Textile Collection,JoBa,2.909,250
93,52.3585461,4.7892965,Service Point,ISN Haci Bayram Amsterdam,Textile Container,Textile Collection,JoBa,2.909,250
92,52.2169308,5.496784300000001,Service Point,Moskee en Nour,Textile Container,Textile Collection,JoBa,2.909,250
91,52.2285599,5.1818647,Service Point,ISN Mevlana Hilversum,Textile Container,Textile Collection,JoBa,2.909,250
90,52.1679666,5.2790833,Service Point,2e Van der Huchtschool,Textile Container,Textile Collection,JoBa,2.909,250
89,52.1619476,5.2752276,Service Point,Insingerschool,Textile Container,Textile Collection,JoBa,2.909,250
88,52.1856738,5.3865201,Service Point,OBS de Dubbelster,Textile Container,Textile Collection,JoBa,2.909,250
87,52.1363495,5.4393054,Service Point,OBS de Bongerd,Textile Container,Textile Collection,JoBa,2.909,250
86,52.0583826,5.4074176,Service Point,WereldKidz Merseberch,Textile Container,Textile Collection,JoBa,2.909,250
85,52.0646208,5.3758965,Service Point,WereldKidz Meent,Textile Container,Textile Collection,JoBa,2.909,250
84,51.9352524,4.7851481,Service Point,Krimpenerwaard - Pleinstraat 9,Textile Container,Textile Collection,JoBa,2.909,250
83,51.8987247,4.6306741,Service Point,Krimpenerwaard - Groenland 37,Textile Container,Textile Collection,JoBa,2.909,250
82,51.8987247,4.6306741,Service Point,Krimpenerwaard - Groenland 37,Textile Container,Textile Collection,JoBa,2.909,250
81,51.8910326,5.0868919,Service Point,Stichting Sociaal Centrum De Brug Leerdam,Textile Container,Textile Collection,JoBa,2.909,250
80,51.6430283,4.8636653,Service Point,ISN Ahmet Yesevi Oosterhout,Textile Container,Textile Collection,JoBa,2.909,250
79,51.8862834,5.0825918,Service Point,ISN Anadolu Leerdam,Textile Container,Textile Collection,JoBa,2.909,250
78,51.8862834,5.0825918,Service Point,ISN Anadolu Leerdam,Textile Container,Textile Collection,JoBa,2.909,250
77,52.1042329,5.0977219,Service Point,Mili Gorus Utrecht,Textile Container,Textile Collection,JoBa,2.909,250
