Service Point Name,Operations,Latitude,Longitude,Address,Location Details,total_capacity_kg,Service Point_x,total_kg,avg_kg,total_bags,avg_bags,Service Point_y,tasks_per_week,weekly_fill_pct,avg_fill_pct,container_count
Islamitisch Centrum Yildiz Schiedam,Textile Collection,51.9157661,4.381192,"Islamitisch Centrum Schiedam, 5, Doctor Schaepmansingel, Nieuwland, Schiedam, South Holland, Netherlands, 3118 XH, Netherlands",Islamitisch Centrum Yildiz Schiedam,1000.0,Islamitisch Centrum Yildiz Schiedam,47286.71,606.2398717948718,9779.0,125.37179487179488,Islamitisch Centrum Yildiz Schiedam,2.048780487804878,1.0,0.6062398717948717,4
ISN Muradiye Schiedam,Textile Collection,51.9188329,4.3974488,"4, Raam, Schiedam, South Holland, Netherlands, 3111 PL, Netherlands",0,0.0,ISN Muradiye Schiedam,2109.04,421.808,485.0,97.0,ISN Muradiye Schiedam,0.13133208255159476,1.0,1.0,0
Fridtjof Nansen,Textile Collection,51.9649935,4.5456139,"Fridtjof Nansen Basisschool, 2-8, Nansenplaats, Romeijnshof, Ommoord, Prins Alexander, Rotterdam, South Holland, Netherlands, 3069 CV, Netherlands",Fridtjof Nansen,250.0,Fridtjof Nansen,6684.37,87.95223684210526,1404.0,18.233766233766232,Fridtjof Nansen,2.0093808630393997,1.0,0.35180894736842105,1
Goede Herderkerk,Textile Collection,51.9580125,4.4674856,"Goede Herder, Wilgenplaslaan, Schiebroek, Hillegersberg-Schiebroek, Rotterdam, South Holland, Netherlands, 3053 CD, Netherlands",0,0.0,Goede Herderkerk,3886.37,94.78951219512194,810.0,19.75609756097561,Goede Herderkerk,1.0769230769230769,1.0,1.0,0
Klaver-Heijplaat,Textile Collection,51.8949151,4.4199681,"15, Vestastraat, Heijplaat, Charlois, Rotterdam, South Holland, Netherlands, 3089 RL, Netherlands",Klaver-Heijplaat,250.0,Klaver-Heijplaat,2895.39,76.19447368421052,611.0,16.07894736842105,Klaver-Heijplaat,0.9981238273921201,1.0,0.3047778947368421,1
Kindcentrum IJsselmonde,Textile Collection,51.8876616,4.5598602,"SBO van Heuven Goedhart, 251, Oosterhagen, Groenenhagen-Tuinenhoven, Groot-IJsselmonde, IJsselmonde, Rotterdam, South Holland, Netherlands, 3078 CL, Netherlands",Kindcentrum IJsselmonde,250.0,Kindcentrum IJsselmonde,4480.27,121.0883783783784,963.0,25.342105263157894,Kindcentrum IJsselmonde,0.9849906191369606,1.0,0.4843535135135136,1
OBS de Waterlelie,Textile Collection,51.9648227,4.5763817,"Koevordermeer, Zevenkamp, Prins Alexander, Rotterdam, South Holland, Netherlands, 3068 KS, Netherlands",OBS de Waterlelie,250.0,OBS de Waterlelie,3005.0299999999997,77.05205128205128,639.0,16.384615384615383,OBS de Waterlelie,1.024390243902439,1.0,0.3082082051282051,1
Albert Plesman IKC,Textile Collection,51.9551337,4.5387097,"Haakdistel, Machielencamp, Ommoord, Prins Alexander, Rotterdam, South Holland, Netherlands, 3068 ND, Netherlands",Albert Plesman IKC,250.0,Albert Plesman IKC,3688.4900000000002,89.96317073170732,807.0,19.214285714285715,Albert Plesman IKC,1.0900562851782365,1.0,0.3598526829268293,1
De Bergse veld school,Textile Collection,51.9574019,4.5136345,"150, Mozartlaan, Molenlaankwartier, Hillegersberg-Schiebroek, Rotterdam, South Holland, Netherlands, 3055 KM, Netherlands",De Bergse veld school,250.0,De Bergse veld school,3241.2400000000002,83.10871794871795,689.0,17.666666666666668,De Bergse veld school,1.024390243902439,1.0,0.3324348717948718,1
Vrije School Rotterdam West,Textile Collection,51.9222784,4.4593025,"Vrijeschool Rotterdam-West, 7-11, Velsenluststraat, Middelland, Delfshaven, Rotterdam, South Holland, Netherlands, 3021 AW, Netherlands",Vrije School Rotterdam West,250.0,Vrije School Rotterdam West,5064.66,126.6165,1053.0,26.325,Vrije School Rotterdam West,1.050656660412758,1.0,0.506466,1
