Service Point Name,Operations,Latitude,Longitude,Address
"Slufterhof 13, 2651NK te Berkel en Rodenrijs",Textile Collection,51.9815755,4.4696833,"13, Slufterhof, Parc Rodenrijs, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 NK, Netherlands"
"Hondsroos 11, 2651 XE te Berkel en Rodenrijs",Textile Collection,51.9836557,4.4613872,"11, Hondsroos, Bloemenwijk, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 XE, Netherlands"
"Futendreef 21, 2665 EP te Bleiswijk",Textile Collection,52.0069477,4.5380856,"23, Futendreef, Oosthoekeind, Bleiswijk, Lansingerland, South Holland, Netherlands, 2665 EP, Netherlands"
"Van Keulendreef 33, 2661ST te Bergschenhoek",Textile Collection,51.9938588,4.502904,"33, Van Keulendreef, Oosteindsche Ackers, Bergschenhoek, Lansingerland, South Holland, Netherlands, 2661 ST, Netherlands"
"Havenstraat 47, 2652BR te Berkel en Rodenrijs",Textile Collection,51.9961806,4.4634871,"47, Havenstraat, Parkwijk, Havenwijk, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2652 BR, Netherlands"
"Achterom 31, 2651JH te Berkel en Rodenrijs",Textile Collection,51.995217,4.4754594,"Primera, 5, Achterom, Parkwijk, Berkel, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 EL, Netherlands"
"Watermolen 5, 2661LA te Bergschenhoek",Textile Collection,51.9904547,4.502335,"5, Watermolen, Bergsche Ackers, Bergschenhoek, Lansingerland, South Holland, Netherlands, 2661 LA, Netherlands"
"Bergweg-zuid 108, 2661CV te Bergschenhoek",Textile Collection,51.9734574,4.49601,"108, Bergweg-zuid, Bergschenhoek, Lansingerland, South Holland, Netherlands, 2661 CV, Netherlands"
"Irislaan 82, 2651PR te Berkel en Rodenrijs",Textile Collection,51.9809929,4.4637321,"82, Irislaan, Parc Rodenrijs, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 PR, Netherlands"
"Planetenweg 53, 2651JB te Berkel en Rodenrijs",Textile Collection,52.0066871,4.491452,"53, Planetenweg, Sterrenwijk, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 JB, Netherlands"
