Date,Operation,Service Point,Material,Actual Amount (Item),Item UOM
2024-01-05 00:00:00,Textile Collection,Stichting Sociaal Centrum De Brug Leerdam,Bag Number,5.0,pcs
2024-01-05 00:00:00,Textile Collection,t Waaygat,Bag Number,13.0,pcs
2024-01-05 00:00:00,Textile Collection,Van Asch van Wijckschool,Bag Number,37.0,pcs
2024-01-05 00:00:00,Textile Collection,Waldorf aan Zee,Bag Number,7.0,pcs
2024-01-05 00:00:00,Textile Collection,Wawollie Utrecht,Bag Number,110.0,pcs
2024-01-05 00:00:00,Textile Collection,Weggeefwinkel Leiden,Bag Number,0.0,pcs
2024-01-05 00:00:00,Textile Collection,Basisschool Radewijnsz,Bag Weight,86.34,kg
2024-01-05 00:00:00,Textile Collection,Ecokring Houten,Bag Weight,191.88,kg
2024-01-05 00:00:00,Textile Collection,Emmaus Overvecht,Bag Weight,311.8,kg
2024-01-05 00:00:00,Textile Collection,ISN Anadolu Leerdam,Bag Weight,167.89,kg
2024-01-05 00:00:00,Textile Collection,ISN Eyup Sultan Utrecht,Bag Weight,599.61,kg
2024-01-05 00:00:00,Textile Collection,ISN Mimar Sinan Leiden,Bag Weight,197.34,kg
2024-01-05 00:00:00,Textile Collection,ISN Sultan Ahmet Zaandam,Bag Weight,592.02,kg
2024-01-05 00:00:00,Textile Collection,Jenaplanschool de Waterval,Bag Weight,140.96,kg
2024-01-05 00:00:00,Textile Collection,Mili Gorus Zaandam,Bag Weight,208.62,kg
2024-01-05 00:00:00,Textile Collection,Milli gorus Fatih Haarlem,Bag Weight,186.06,kg
2024-01-05 00:00:00,Textile Collection,Moskee Fatih Sultan Leiden,Bag Weight,56.38,kg
2024-01-05 00:00:00,Textile Collection,Moskee Furkan Haarlem,Bag Weight,84.57,kg
2024-01-05 00:00:00,Textile Collection,Moskee Ondort Masumlar,Bag Weight,422.87,kg
2024-01-05 00:00:00,Textile Collection,Reinis - Milieustraat Mosterweg,Bag Weight,740.0,kg
2024-01-05 00:00:00,Textile Collection,Schildershoeve,Bag Weight,84.57,kg
